<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;20180115;190000;238.8700000;239.2000000;238.2000000;238.8500000;4256940
SBER;60;20180116;110000;239.0000000;239.0500000;238.0400000;238.6100000;1393250
SBER;60;20180116;120000;238.6000000;238.8800000;237.7000000;238.1000000;2461910
SBER;60;20180116;130000;238.1100000;238.2500000;236.0100000;236.9000000;5944930
SBER;60;20180116;140000;236.9200000;237.6300000;236.7500000;237.1000000;2057390
SBER;60;20180116;150000;237.0900000;238.7000000;236.6800000;238.5900000;2524590
SBER;60;20180116;160000;238.5900000;239.2000000;238.3400000;238.7000000;2252510
SBER;60;20180116;170000;238.7900000;239.8300000;238.5700000;238.9000000;2207520
SBER;60;20180116;180000;238.9000000;239.6700000;238.5700000;239.6300000;2384730
SBER;60;20180116;190000;239.6300000;240.0000000;238.6000000;239.6400000;4237060
SBER;60;20180117;110000;238.6200000;238.6200000;236.5300000;237.6000000;5093970
SBER;60;20180117;120000;237.6000000;238.4000000;237.4800000;238.0000000;4452080
SBER;60;20180117;130000;238.0000000;238.7000000;237.5500000;237.7800000;4184220
SBER;60;20180117;140000;237.7900000;239.0000000;237.7300000;238.4000000;3651790
SBER;60;20180117;150000;238.4100000;239.2000000;238.3600000;238.7600000;1171720
SBER;60;20180117;160000;238.7600000;239.1800000;238.4300000;239.1000000;2754510
SBER;60;20180117;170000;238.9400000;239.1200000;238.3300000;238.6100000;1845640
SBER;60;20180117;180000;238.6200000;239.6700000;238.2000000;238.7700000;3759390
SBER;60;20180117;190000;238.8100000;239.8200000;238.7000000;239.8200000;3583240
SBER;60;20180118;110000;240.5000000;243.2300000;240.0000000;241.4500000;11286840
SBER;60;20180118;120000;241.4200000;242.7900000;240.5500000;242.0500000;5064400
SBER;60;20180118;130000;242.0500000;242.4300000;240.9500000;242.1200000;3807730
SBER;60;20180118;140000;242.1400000;243.4400000;242.0100000;243.3400000;4887860
SBER;60;20180118;150000;243.3100000;244.2000000;242.5600000;244.1000000;6496400
SBER;60;20180118;160000;244.1000000;245.8500000;243.8700000;244.8000000;8932560
SBER;60;20180118;170000;244.8000000;246.4300000;244.4400000;246.4000000;7238140
SBER;60;20180118;180000;246.4100000;246.6600000;245.7000000;246.4100000;6668290
SBER;60;20180118;190000;246.4400000;246.6900000;245.0000000;245.5000000;9679970
SBER;60;20180119;110000;245.1600000;245.9800000;243.6100000;243.6600000;7007610
SBER;60;20180119;120000;243.6600000;243.9300000;241.9000000;242.0200000;6648220
SBER;60;20180119;130000;242.0200000;243.2500000;242.0100000;242.9300000;2513140
SBER;60;20180119;140000;243.0200000;243.0200000;241.5500000;241.9600000;3276510
SBER;60;20180119;150000;242.0000000;242.4600000;241.6500000;241.7500000;1627800
SBER;60;20180119;160000;241.6700000;242.1100000;240.9100000;241.2700000;3314280
SBER;60;20180119;170000;241.2700000;241.8200000;240.6800000;240.9400000;3313120
SBER;60;20180119;180000;240.9700000;243.5000000;240.7100000;242.6500000;6058730
SBER;60;20180119;190000;242.6500000;243.3000000;242.0800000;242.4500000;5215530
SBER;60;20180122;110000;242.9700000;244.4000000;241.4100000;244.1400000;5191790
SBER;60;20180122;120000;244.1100000;244.8900000;243.0000000;243.3500000;3418460
SBER;60;20180122;130000;243.3500000;244.1800000;242.4100000;242.8000000;2262250
SBER;60;20180122;140000;242.8000000;243.0100000;241.8800000;242.7200000;1800930
SBER;60;20180122;150000;242.6700000;243.0000000;242.4500000;242.8200000;1220420
SBER;60;20180122;160000;242.8300000;242.8300000;242.0700000;242.2800000;1115850
SBER;60;20180122;170000;242.2100000;242.6000000;241.7600000;242.4300000;1674330
SBER;60;20180122;180000;242.4000000;243.9700000;242.1700000;243.8400000;5432350
SBER;60;20180122;190000;243.8400000;244.0800000;243.2500000;243.9900000;2958130
SBER;60;20180123;110000;244.7800000;246.2500000;244.6200000;246.2100000;6435100
SBER;60;20180123;120000;246.2200000;246.2500000;244.0900000;244.3100000;7182570
SBER;60;20180123;130000;244.3300000;244.8300000;243.5500000;244.2000000;3849420
SBER;60;20180123;140000;244.1500000;244.2000000;242.7500000;243.1000000;3351440
SBER;60;20180123;150000;243.1000000;243.1400000;241.8500000;242.6200000;4555270
SBER;60;20180123;160000;242.5800000;243.4500000;241.6700000;242.5000000;3917330
SBER;60;20180123;170000;242.5000000;242.8900000;241.9400000;242.6700000;4505130
SBER;60;20180123;180000;242.6800000;243.5800000;242.5200000;243.4200000;4123920
SBER;60;20180123;190000;243.3900000;244.4400000;242.9900000;244.4000000;6032140
SBER;60;20180124;110000;244.2000000;244.5500000;242.6000000;243.4500000;2968170
SBER;60;20180124;120000;243.4500000;244.4500000;242.3200000;244.0100000;4023310
SBER;60;20180124;130000;244.0100000;244.8000000;243.8500000;244.4300000;2349610
SBER;60;20180124;140000;244.4000000;244.8700000;243.7500000;244.1100000;2402560
SBER;60;20180124;150000;244.1900000;244.4000000;243.7500000;244.1400000;1321250
SBER;60;20180124;160000;244.0700000;245.5000000;243.9300000;245.4300000;3113770
SBER;60;20180124;170000;245.3800000;246.3500000;244.8800000;246.2100000;3657490
SBER;60;20180124;180000;246.2100000;247.3500000;245.9800000;247.1400000;7677510
SBER;60;20180124;190000;247.2000000;247.5300000;246.7100000;247.5300000;3612210
SBER;60;20180125;110000;247.9000000;250.7500000;247.5800000;250.7400000;10276720
SBER;60;20180125;120000;250.7500000;250.8600000;247.9300000;249.1000000;12030950
SBER;60;20180125;130000;249.1000000;250.1000000;249.0200000;250.0600000;3622730
SBER;60;20180125;140000;250.1100000;250.5000000;249.8000000;250.3100000;3457240
SBER;60;20180125;150000;250.3100000;251.5000000;250.1100000;251.4900000;6279260
SBER;60;20180125;160000;251.5000000;251.6500000;250.1000000;250.8800000;4865480
SBER;60;20180125;170000;250.9600000;251.0000000;249.2800000;249.9900000;5059680
SBER;60;20180125;180000;249.9900000;250.0000000;249.0000000;249.3900000;4117290
SBER;60;20180125;190000;249.3500000;250.9400000;248.6800000;250.6400000;5272940
SBER;60;20180126;110000;249.6000000;250.5000000;248.0500000;249.9400000;5596850
SBER;60;20180126;120000;250.0200000;251.2300000;249.8600000;250.7400000;3584260
SBER;60;20180126;130000;250.7100000;250.9000000;249.8400000;250.2100000;1851230
SBER;60;20180126;140000;250.2100000;250.2800000;249.1500000;249.7200000;2195140
SBER;60;20180126;150000;249.7000000;249.8300000;248.8500000;249.0000000;2068500
SBER;60;20180126;160000;249.0000000;249.5600000;248.6200000;249.4600000;1551820
SBER;60;20180126;170000;249.3700000;249.4900000;247.5000000;247.6200000;5559160
SBER;60;20180126;180000;247.6800000;248.2500000;246.6000000;247.1100000;5025790
SBER;60;20180126;190000;247.0800000;247.1100000;245.9300000;247.0000000;7750060
